Pair 18[9]: Avg MSE: 1732.45, Avg SSIM: 0.75
Pair 18[10]: Avg MSE: 2651.96, Avg SSIM: 0.72
Pair 19[1]: Avg MSE: 949.13, Avg SSIM: 0.86
Pair 19[2]: Avg MSE: 709.89, Avg SSIM: 0.88
Pair 19[3]: Avg MSE: 533.57, Avg SSIM: 0.89
Pair 19[4]: Avg MSE: 447.22, Avg SSIM: 0.88
Pair 19[5]: Avg MSE: 458.25, Avg SSIM: 0.86
Pair 19[6]: Avg MSE: 624.90, Avg SSIM: 0.84
Pair 19[7]: Avg MSE: 1004.95, Avg SSIM: 0.81
Pair 19[8]: Avg MSE: 1677.88, Avg SSIM: 0.77
Pair 19[9]: Avg MSE: 2648.42, Avg SSIM: 0.73
Pair 19[10]: Avg MSE: 3918.60, Avg SSIM: 0.70
Pair 20[1]: Avg MSE: 1242.87, Avg SSIM: 0.88
Pair 20[2]: Avg MSE: 980.68, Avg SSIM: 0.90
Pair 20[3]: Avg MSE: 753.24, Avg SSIM: 0.91
Pair 20[4]: Avg MSE: 575.19, Avg SSIM: 0.91
Pair 20[5]: Avg MSE: 463.54, Avg SSIM: 0.90
Pair 20[6]: Avg MSE: 440.71, Avg SSIM: 0.88
Pair 20[7]: Avg MSE: 531.24, Avg SSIM: 0.86
Pair 20[8]: Avg MSE: 769.41, Avg SSIM: 0.83
Pair 20[9]: Avg MSE: 1177.49, Avg SSIM: 0.79
Pair 20[10]: Avg MSE: 1771.11, Avg SSIM: 0.76
Pair 21[1]: Avg MSE: 949.86, Avg SSIM: 0.89
Pair 21[2]: Avg MSE: 744.11, Avg SSIM: 0.90
Pair 21[3]: Avg MSE: 607.48, Avg SSIM: 0.89
Pair 21[4]: Avg MSE: 557.84, Avg SSIM: 0.87
Pair 21[5]: Avg MSE: 673.89, Avg SSIM: 0.84
Pair 21[6]: Avg MSE: 1109.13, Avg SSIM: 0.80
Pair 21[7]: Avg MSE: 2045.97, Avg SSIM: 0.77
Pair 21[8]: Avg MSE: 3607.85, Avg SSIM: 0.73
Pair 21[9]: Avg MSE: 5602.30, Avg SSIM: 0.70
Pair 21[10]: Avg MSE: 7500.74, Avg SSIM: 0.67
Pair 22[1]: Avg MSE: 989.46, Avg SSIM: 0.87
Pair 22[2]: Avg MSE: 782.59, Avg SSIM: 0.89
Pair 22[3]: Avg MSE: 653.60, Avg SSIM: 0.89
Pair 22[4]: Avg MSE: 629.77, Avg SSIM: 0.88
Pair 22[5]: Avg MSE: 710.36, Avg SSIM: 0.85
Pair 22[6]: Avg MSE: 968.12, Avg SSIM: 0.83
Pair 22[7]: Avg MSE: 1520.36, Avg SSIM: 0.79
Pair 22[8]: Avg MSE: 2468.14, Avg SSIM: 0.76
Pair 22[9]: Avg MSE: 3682.40, Avg SSIM: 0.72
Pair 22[10]: Avg MSE: 4964.26, Avg SSIM: 0.69
Pair 23[1]: Avg MSE: 1111.86, Avg SSIM: 0.87
Pair 23[2]: Avg MSE: 896.05, Avg SSIM: 0.88
Pair 23[3]: Avg MSE: 728.39, Avg SSIM: 0.89
Pair 23[4]: Avg MSE: 631.31, Avg SSIM: 0.88
Pair 23[5]: Avg MSE: 616.33, Avg SSIM: 0.87
Pair 23[6]: Avg MSE: 683.10, Avg SSIM: 0.85
Pair 23[7]: Avg MSE: 871.57, Avg SSIM: 0.83
Pair 23[8]: Avg MSE: 1219.77, Avg SSIM: 0.80
Pair 23[9]: Avg MSE: 1736.24, Avg SSIM: 0.76
Pair 23[10]: Avg MSE: 2377.66, Avg SSIM: 0.73
Pair 24[1]: Avg MSE: 942.18, Avg SSIM: 0.87
Pair 24[2]: Avg MSE: 707.03, Avg SSIM: 0.88
Pair 24[3]: Avg MSE: 558.05, Avg SSIM: 0.88
Pair 24[4]: Avg MSE: 475.52, Avg SSIM: 0.87
Pair 24[5]: Avg MSE: 455.67, Avg SSIM: 0.85
Pair 24[6]: Avg MSE: 547.09, Avg SSIM: 0.83
Pair 24[7]: Avg MSE: 784.69, Avg SSIM: 0.80
Pair 24[8]: Avg MSE: 1208.55, Avg SSIM: 0.76
Pair 24[9]: Avg MSE: 1867.00, Avg SSIM: 0.73
Pair 24[10]: Avg MSE: 2801.44, Avg SSIM: 0.70
Pair 25[1]: Avg MSE: 858.28, Avg SSIM: 0.86
Pair 25[2]: Avg MSE: 579.22, Avg SSIM: 0.87
Pair 25[3]: Avg MSE: 401.49, Avg SSIM: 0.86
Pair 25[4]: Avg MSE: 380.36, Avg SSIM: 0.83
Pair 25[5]: Avg MSE: 604.37, Avg SSIM: 0.79
Pair 25[6]: Avg MSE: 1192.17, Avg SSIM: 0.75
Pair 25[7]: Avg MSE: 2298.82, Avg SSIM: 0.71
Pair 25[8]: Avg MSE: 4125.70, Avg SSIM: 0.67
Pair 25[9]: Avg MSE: 6867.39, Avg SSIM: 0.63
Pair 25[10]: Avg MSE: 10092.86, Avg SSIM: 0.60
Pair 26[1]: Avg MSE: 851.72, Avg SSIM: 0.86
Pair 26[2]: Avg MSE: 538.04, Avg SSIM: 0.88
Pair 26[3]: Avg MSE: 331.33, Avg SSIM: 0.87
Pair 26[4]: Avg MSE: 267.78, Avg SSIM: 0.84
Pair 26[5]: Avg MSE: 394.32, Avg SSIM: 0.80
Pair 26[6]: Avg MSE: 774.42, Avg SSIM: 0.77
Pair 26[7]: Avg MSE: 1487.32, Avg SSIM: 0.72
Pair 26[8]: Avg MSE: 2622.40, Avg SSIM: 0.68
Pair 26[9]: Avg MSE: 4290.33, Avg SSIM: 0.64
Pair 26[10]: Avg MSE: 6278.84, Avg SSIM: 0.61
Pair 27[1]: Avg MSE: 1263.47, Avg SSIM: 0.86
Pair 27[2]: Avg MSE: 1028.45, Avg SSIM: 0.87
Pair 27[3]: Avg MSE: 828.78, Avg SSIM: 0.88
Pair 27[4]: Avg MSE: 702.77, Avg SSIM: 0.88
Pair 27[5]: Avg MSE: 680.29, Avg SSIM: 0.87
Pair 27[6]: Avg MSE: 800.66, Avg SSIM: 0.85
Pair 27[7]: Avg MSE: 1129.43, Avg SSIM: 0.82
Pair 27[8]: Avg MSE: 1734.98, Avg SSIM: 0.79
Pair 27[9]: Avg MSE: 2600.27, Avg SSIM: 0.75
Pair 27[10]: Avg MSE: 3631.81, Avg SSIM: 0.72
Pair 28[1]: Avg MSE: 936.28, Avg SSIM: 0.88
Pair 28[2]: Avg MSE: 721.92, Avg SSIM: 0.89
Pair 28[3]: Avg MSE: 557.27, Avg SSIM: 0.89
Pair 28[4]: Avg MSE: 468.42, Avg SSIM: 0.88
Pair 28[5]: Avg MSE: 481.15, Avg SSIM: 0.85
Pair 28[6]: Avg MSE: 640.67, Avg SSIM: 0.82
