Pair 33[7]: Avg MSE: 509.31, Avg SSIM: 0.85
Pair 33[8]: Avg MSE: 521.92, Avg SSIM: 0.85
Pair 33[9]: Avg MSE: 532.21, Avg SSIM: 0.85
Pair 33[10]: Avg MSE: 541.51, Avg SSIM: 0.85
Pair 34[1]: Avg MSE: 424.34, Avg SSIM: 0.88
Pair 34[2]: Avg MSE: 455.51, Avg SSIM: 0.88
Pair 34[3]: Avg MSE: 482.04, Avg SSIM: 0.87
Pair 34[4]: Avg MSE: 501.71, Avg SSIM: 0.87
Pair 34[5]: Avg MSE: 522.83, Avg SSIM: 0.87
Pair 34[6]: Avg MSE: 548.42, Avg SSIM: 0.87
Pair 34[7]: Avg MSE: 568.03, Avg SSIM: 0.87
Pair 34[8]: Avg MSE: 588.06, Avg SSIM: 0.87
Pair 34[9]: Avg MSE: 603.87, Avg SSIM: 0.87
Pair 34[10]: Avg MSE: 617.10, Avg SSIM: 0.87
Pair 35[1]: Avg MSE: 491.37, Avg SSIM: 0.87
Pair 35[2]: Avg MSE: 528.40, Avg SSIM: 0.87
Pair 35[3]: Avg MSE: 561.74, Avg SSIM: 0.86
Pair 35[4]: Avg MSE: 591.10, Avg SSIM: 0.86
Pair 35[5]: Avg MSE: 618.78, Avg SSIM: 0.86
Pair 35[6]: Avg MSE: 645.26, Avg SSIM: 0.86
Pair 35[7]: Avg MSE: 668.49, Avg SSIM: 0.86
Pair 35[8]: Avg MSE: 689.48, Avg SSIM: 0.86
Pair 35[9]: Avg MSE: 707.01, Avg SSIM: 0.85
Pair 35[10]: Avg MSE: 725.36, Avg SSIM: 0.85
Pair 36[1]: Avg MSE: 340.33, Avg SSIM: 0.91
Pair 36[2]: Avg MSE: 360.21, Avg SSIM: 0.91
Pair 36[3]: Avg MSE: 377.48, Avg SSIM: 0.91
Pair 36[4]: Avg MSE: 393.51, Avg SSIM: 0.90
Pair 36[5]: Avg MSE: 408.34, Avg SSIM: 0.90
Pair 36[6]: Avg MSE: 421.39, Avg SSIM: 0.90
Pair 36[7]: Avg MSE: 433.68, Avg SSIM: 0.90
Pair 36[8]: Avg MSE: 444.59, Avg SSIM: 0.90
Pair 36[9]: Avg MSE: 453.61, Avg SSIM: 0.90
Pair 36[10]: Avg MSE: 463.66, Avg SSIM: 0.90
Pair 37[1]: Avg MSE: 494.21, Avg SSIM: 0.88
Pair 37[2]: Avg MSE: 505.98, Avg SSIM: 0.88
Pair 37[3]: Avg MSE: 519.18, Avg SSIM: 0.87
Pair 37[4]: Avg MSE: 527.89, Avg SSIM: 0.87
Pair 37[5]: Avg MSE: 538.52, Avg SSIM: 0.87
Pair 37[6]: Avg MSE: 553.83, Avg SSIM: 0.87
Pair 37[7]: Avg MSE: 569.40, Avg SSIM: 0.87
Pair 37[8]: Avg MSE: 580.12, Avg SSIM: 0.87
Pair 37[9]: Avg MSE: 588.98, Avg SSIM: 0.87
Pair 37[10]: Avg MSE: 598.24, Avg SSIM: 0.87
Pair 38[1]: Avg MSE: 309.76, Avg SSIM: 0.93
Pair 38[2]: Avg MSE: 346.01, Avg SSIM: 0.92
Pair 38[3]: Avg MSE: 378.21, Avg SSIM: 0.92
Pair 38[4]: Avg MSE: 404.52, Avg SSIM: 0.92
Pair 38[5]: Avg MSE: 429.48, Avg SSIM: 0.92
Pair 38[6]: Avg MSE: 451.42, Avg SSIM: 0.92
Pair 38[7]: Avg MSE: 471.94, Avg SSIM: 0.92
Pair 38[8]: Avg MSE: 488.83, Avg SSIM: 0.92
Pair 38[9]: Avg MSE: 504.82, Avg SSIM: 0.91
Pair 38[10]: Avg MSE: 521.37, Avg SSIM: 0.91
Pair 39[1]: Avg MSE: 240.30, Avg SSIM: 0.92
Pair 39[2]: Avg MSE: 251.61, Avg SSIM: 0.92
Pair 39[3]: Avg MSE: 261.03, Avg SSIM: 0.92
Pair 39[4]: Avg MSE: 269.32, Avg SSIM: 0.92
Pair 39[5]: Avg MSE: 277.69, Avg SSIM: 0.92
Pair 39[6]: Avg MSE: 286.12, Avg SSIM: 0.92
Pair 39[7]: Avg MSE: 294.07, Avg SSIM: 0.92
Pair 39[8]: Avg MSE: 301.25, Avg SSIM: 0.92
Pair 39[9]: Avg MSE: 307.66, Avg SSIM: 0.92
Pair 39[10]: Avg MSE: 313.35, Avg SSIM: 0.92
Pair 40[1]: Avg MSE: 770.15, Avg SSIM: 0.82
Pair 40[2]: Avg MSE: 809.85, Avg SSIM: 0.82
Pair 40[3]: Avg MSE: 848.54, Avg SSIM: 0.82
Pair 40[4]: Avg MSE: 876.94, Avg SSIM: 0.82
Pair 40[5]: Avg MSE: 912.61, Avg SSIM: 0.81
Pair 40[6]: Avg MSE: 946.24, Avg SSIM: 0.81
Pair 40[7]: Avg MSE: 974.29, Avg SSIM: 0.81
Pair 40[8]: Avg MSE: 998.76, Avg SSIM: 0.81
Pair 40[9]: Avg MSE: 1021.94, Avg SSIM: 0.81
Pair 40[10]: Avg MSE: 1043.63, Avg SSIM: 0.80
Pair 41[1]: Avg MSE: 85.90, Avg SSIM: 0.94
